state,district,anaemia_pregnant_pct,antenatal_first_trimester_pct,institutional_births_pct,postnatal_care_pct,underweight_pct,hri_normalised,hri_score,hri_category,intrastate_rank
Bihar,Pashchim Champaran,61.4,55.0,79.5,57.3,30.3,0.811583,4,High,3
Bihar,Patna,63.7,51.7,89.1,59.0,39.6,0.746699,3,moderate,31
Bihar,Purba Champaran,61.1,45.4,61.5,43.7,37.9,0.813645,4,High,2
Bihar,Purnia,74.6,26.3,68.9,41.0,47.1,0.764784,3,moderate,20
Bihar,Rohtas,51.0,64.9,89.1,85.0,48.2,0.775659,4,High,11
Bihar,Saharsa,61.8,34.8,70.4,38.5,42.7,0.760555,3,moderate,24
Bihar,Samastipur,69.7,53.4,83.4,52.1,42.8,0.768739,3,moderate,17
Bihar,Saran,59.1,44.4,73.0,54.1,45.0,0.761452,3,moderate,23
Bihar,Sheikhpura,64.2,68.8,89.2,77.1,37.6,0.744214,3,moderate,35
Bihar,Sheohar,37.3,62.8,74.3,61.1,42.2,0.808847,4,High,4
Bihar,Sitamarhi,59.7,57.8,64.4,51.1,40.8,0.79626,4,High,5
Bihar,Siwan,58.0,61.0,86.4,63.9,30.8,0.78911,4,High,8
Bihar,Supaul,56.1,59.0,80.4,60.7,45.0,0.768928,3,moderate,16
Bihar,Vaishali,66.8,46.7,81.6,57.4,38.4,0.739205,3,moderate,37
Goa,North Goa,,74.6,99.6,93.1,25.8,1.0,5,Very high,1
Goa,South Goa,,62.7,100.0,99.5,21.0,0.94933963,5,Very high,2
Gujarat,Amreli,,93.9,90.1,87.0,30.6,0.892957309,5,Very high,10
Gujarat,Anand,,74.2,96.0,90.3,46.6,0.915399391,5,Very high,7
Gujarat,Bharuch,77.2,63.4,91.1,78.8,45.5,0.916970056,5,Very high,6
Gujarat,Bhavnagar,56.2,76.6,94.2,87.0,39.5,0.951198314,5,Very high,4
Gujarat,Botad,48.5,82.3,93.5,85.4,32.3,0.899148509,5,Very high,9
Gujarat,Devbhumi Dwarka,49.1,84.1,94.8,90.1,36.2,0.929141541,5,Very high,5
Gujarat,Gandhinagar,57.4,69.5,97.8,88.2,44.6,0.86721435,5,Very high,17
Gujarat,Gir Somnath,57.7,79.2,87.1,90.8,30.3,0.885920826,5,Very high,12
Gujarat,Jamnagar,,91.7,96.5,92.4,28.9,0.892277806,5,Very high,11
Gujarat,Junagadh,57.3,82.0,97.4,84.1,26.4,0.856748102,5,Very high,23
Gujarat,Kachchh,43.1,88.8,97.4,93.9,33.4,0.840024937,4,High,28
Gujarat,Kheda,72.9,64.0,95.2,85.1,39.5,0.884133946,5,Very high,13
Gujarat,Mahesana,62.9,59.7,97.3,79.7,41.4,0.865750874,5,Very high,18
Gujarat,Mahisagar,56.5,77.2,93.0,90.9,49.0,0.808862071,4,High,32
Gujarat,Morbi,50.1,89.8,94.8,89.9,32.3,0.876931686,5,Very high,15
Gujarat,Narmada,75.6,81.7,81.7,87.2,52.8,0.816033387,4,High,30
Gujarat,Navsari,,93.4,99.3,98.2,43.6,0.955398799,5,Very high,3
Gujarat,Patan,60.1,86.2,98.6,93.6,42.3,0.856909831,5,Very high,22
Gujarat,Porbandar,54.9,93.5,100.0,97.6,25.5,0.857415562,5,Very high,21
Gujarat,Rajkot,,94.0,99.3,98.1,37.0,0.900353773,5,Very high,8
Gujarat,Surat,58.7,92.2,97.7,96.7,32.5,0.976522871,5,Very high,2
Gujarat,Surendranagar,60.8,84.0,85.6,78.4,41.8,0.858871508,5,Very high,20
Gujarat,Tapi,72.0,83.2,92.9,90.0,51.8,0.81059362,4,High,31
Gujarat,The Dangs,66.8,86.4,74.5,80.1,53.1,0.746230765,3,moderate,33
Gujarat,Vadodara,65.9,80.4,95.9,90.7,39.9,0.880814111,5,Very high,14
Gujarat,Valsad,71.0,88.3,96.5,95.0,34.8,0.859269388,5,Very high,19
Himachal Pradesh,Chamba,38.3,75.1,72.0,72.9,26.0,0.648822778,2,low,8
Himachal Pradesh,Hamirpur,,67.5,97.6,88.9,23.6,0.669297797,2,low,4
Himachal Pradesh,Kangra,,51.5,90.2,88.7,32.0,0.672129822,2,low,3
Himachal Pradesh,Kinnaur,,77.8,82.7,83.4,18.9,0.651454634,2,low,7
Himachal Pradesh,Kullu,23.1,62.1,87.0,84.6,25.6,0.628410245,2,low,11
Himachal Pradesh,Mandi,43.5,81.2,86.6,84.2,21.3,0.630063704,2,low,10
Himachal Pradesh,Shimla,,83.1,92.2,91.6,14.9,0.668409719,2,low,5
Himachal Pradesh,Sirmaur,46.3,91.0,87.4,88.7,24.2,0.681437928,3,moderate,2
Himachal Pradesh,Solan,30.5,87.1,90.2,85.9,26.7,0.644499918,2,low,9
Himachal Pradesh,Una,60.4,70.7,89.7,84.9,25.8,0.71543038,3,moderate,1
Karnataka,Bangalore,23.7,75.3,99.3,88.0,28.1,0.80470575,4,High,26
Karnataka,Bidar,60.4,62.7,99.0,89.6,36.1,0.864688438,5,Very high,6
Karnataka,Chikkaballapura,37.9,82.6,99.0,91.2,25.2,0.754775547,3,moderate,30
Karnataka,Chitradurga,57.1,66.3,98.3,95.2,32.4,0.79927747,4,High,28
Karnataka,Dakshina Kannada,35.8,86.1,100.0,83.5,26.4,0.94866225,5,Very high,1
Karnataka,Davanagere,,63.0,98.3,78.9,32.8,0.812219875,4,High,20
Karnataka,Dharwad,68.4,78.7,99.7,98.0,40.4,0.823637072,4,High,16
Karnataka,Gadag,51.1,52.6,96.2,84.7,39.8,0.83635663,4,High,12
Karnataka,Hassan,47.0,67.6,100.0,92.6,23.8,0.819933691,4,High,17
Karnataka,Haveri,59.4,73.3,97.2,92.4,35.0,0.817823711,4,High,18
Karnataka,Kodagu,50.1,70.6,98.4,93.3,22.6,0.811211376,4,High,22
Karnataka,Kolar,37.9,78.0,99.6,95.7,15.7,0.802505969,4,High,27
Karnataka,Koppal,55.2,52.4,90.7,80.7,45.8,0.824169256,4,High,14
Karnataka,Mandya,,85.6,99.5,95.5,16.7,0.828118111,4,High,13
Karnataka,Raichur,69.1,66.4,88.9,76.1,40.7,0.813565813,4,High,19
Karnataka,Ramanagara,,91.8,100.0,87.0,19.8,0.811470735,4,High,21
Karnataka,Udupi,48.4,75.1,98.9,89.2,21.0,0.93085994,5,Very high,2
Karnataka,Uttara Kannada,33.1,80.4,99.3,87.4,33.3,0.879447569,5,Very high,3
Karnataka,Yadgir,61.1,57.4,93.3,73.3,45.2,0.823734475,4,High,15
Kerala,Alappuzha,,85.1,99.4,89.2,20.4,0.909206259,5,Very high,5
Kerala,Ernakulam,,92.6,99.1,96.1,19.4,0.970972271,5,Very high,2
Kerala,Idukki,,93.3,100.0,94.0,23.6,0.875299309,5,Very high,11
Kerala,Kannur,39.7,94.8,100.0,93.4,17.9,0.880054251,5,Very high,10
Kerala,Kasaragod,27.3,97.4,100.0,95.0,21.4,0.905013404,5,Very high,6
Kerala,Kollam,,92.6,100.0,91.4,17.0,0.894800731,5,Very high,8
Kerala,Kottayam,,81.6,98.7,85.0,17.3,0.929237354,5,Very high,4
Kerala,Kozhikode,23.2,98.3,100.0,91.0,18.9,0.847339661,5,Very high,13
Kerala,Malappuram,41.1,95.3,100.0,96.9,21.4,0.903923095,5,Very high,7
Kerala,Palakkad,40.5,97.7,100.0,97.5,27.7,0.886380612,5,Very high,9
Kerala,Pathanamthitta,,92.9,99.1,95.2,11.2,0.943432682,5,Very high,3
Kerala,Thrissur,,97.1,100.0,95.2,17.3,0.856513637,5,Very high,12
Kerala,Wayanad,,97.6,100.0,95.9,22.5,0.816187496,4,High,14
Ladakh,Kargil,76.7,91.0,93.7,78.3,21.8,0.680459927,3,moderate,2
Maharashtra,Akola,39.2,75.1,97.7,82.3,30.8,0.878639083,5,Very high,15
Maharashtra,Amravati,43.3,89.1,91.3,80.2,38.0,0.86764328,5,Very high,21
Maharashtra,Aurangabad,48.2,65.2,94.8,76.4,42.9,0.835296858,4,High,32
Maharashtra,Bhandara,64.7,83.7,100.0,87.5,33.9,0.889709099,5,Very high,9
Maharashtra,Bid,,65.6,94.0,79.8,36.8,0.86999373,5,Very high,20
Maharashtra,Buldana,,73.6,93.9,86.7,47.2,0.886622171,5,Very high,10
Maharashtra,Chandrapur,,76.6,99.6,92.3,46.6,0.885532439,5,Very high,11
