state,district,hri_normalised,hri_score,hri_category,intrastate_rank
Chhattisgarh,Kabeerdham,0.835446349,4.0,High,1
Chhattisgarh,Durg,0.827628874,4.0,High,2
Chhattisgarh,Rajnandgaon,0.82592457,4.0,High,3
Chhattisgarh,Mungeli,0.824086194,4.0,High,4
Chhattisgarh,Raipur,0.795645779,4.0,High,5
Chhattisgarh,Gariaband,0.792829595,4.0,High,6
Chhattisgarh,Jashpur,0.789033162,4.0,High,7
Chhattisgarh,Balod,0.78726428,4.0,High,8
Chhattisgarh,Bametara,0.785488854,4.0,High,9
Chhattisgarh,Raigarh,0.77871212,4.0,High,10
Chhattisgarh,Janjgir - Champa,0.776813298,4.0,High,11
Chhattisgarh,Uttar Bastar Kanker,0.774580359,4.0,High,12
Chhattisgarh,Dhamtari,0.773684049,4.0,High,13
Chhattisgarh,Korba,0.768325883,3.0,moderate,14
Chhattisgarh,Bastar,0.760358328,3.0,moderate,15
Chhattisgarh,Kondagaon,0.756701426,3.0,moderate,16
Chhattisgarh,Surajpur,0.756185722,3.0,moderate,17
Chhattisgarh,Mahasamund,0.756063195,3.0,moderate,18
Chhattisgarh,Balrampur,0.754593899,3.0,moderate,19
Chhattisgarh,Baloda Bazar,0.751531285,3.0,moderate,20
Chhattisgarh,Bijapur,0.751308379,3.0,moderate,21
Chhattisgarh,Surguja,0.748951718,3.0,moderate,22
Chhattisgarh,Koriya,0.746482618,3.0,moderate,23
Chhattisgarh,Dakshin Bastar Dantewada,0.738591882,3.0,moderate,24
Chhattisgarh,Sukma,0.724197873,3.0,moderate,25
Chhattisgarh,Narayanpur,0.718379083,3.0,moderate,26
Dadra & Nagar Havelili,Dadra & Nagar Haveli,0.867069816,5.0,Very high,1
Daman & Diu,Diu,0.818063303,4.0,High,1
Daman & Diu,Daman,0.792568695,4.0,High,2
Delhi,South West,0.859204777,5.0,Very high,1
Delhi,North West,0.858898982,5.0,Very high,2
Delhi,North,0.858369359,5.0,Very high,3
Delhi,West,0.851753853,5.0,Very high,4
Delhi,North East,0.848109057,5.0,Very high,5
Delhi,Shahdara,0.847401742,5.0,Very high,6
Delhi,South,0.831165183,4.0,High,7
Delhi,Central,0.830585665,4.0,High,8
Delhi,East,0.830569688,4.0,High,9
Delhi,South East,0.825770926,4.0,High,10
Delhi,New Delhi,0.820788441,4.0,High,11
Goa,North Goa,1.0,5.0,Very high,1
Goa,South Goa,0.94933963,5.0,Very high,2
Gujarat,Ahmadabad,0.982446951,5.0,Very high,1
Gujarat,Surat,0.976522871,5.0,Very high,2
Gujarat,Navsari,0.955398799,5.0,Very high,3
Gujarat,Bhavnagar,0.951198314,5.0,Very high,4
Gujarat,Devbhumi Dwarka,0.929141541,5.0,Very high,5
Gujarat,Bharuch,0.916970056,5.0,Very high,6
Gujarat,Anand,0.915399391,5.0,Very high,7
Gujarat,Rajkot,0.900353773,5.0,Very high,8
Gujarat,Botad,0.899148509,5.0,Very high,9
Gujarat,Amreli,0.892957309,5.0,Very high,10
Gujarat,Jamnagar,0.892277806,5.0,Very high,11
Gujarat,Gir Somnath,0.885920826,5.0,Very high,12
Gujarat,Kheda,0.884133946,5.0,Very high,13
Gujarat,Vadodara,0.880814111,5.0,Very high,14
Gujarat,Morbi,0.876931686,5.0,Very high,15
Gujarat,Banas Kantha,0.868647062,5.0,Very high,16
Gujarat,Gandhinagar,0.86721435,5.0,Very high,17
Gujarat,Mahesana,0.865750874,5.0,Very high,18
Gujarat,Valsad,0.859269388,5.0,Very high,19
Gujarat,Surendranagar,0.858871508,5.0,Very high,20
Gujarat,Porbandar,0.857415562,5.0,Very high,21
Gujarat,Patan,0.856909831,5.0,Very high,22
Gujarat,Junagadh,0.856748102,5.0,Very high,23
Gujarat,Sabar Kantha,0.850934407,5.0,Very high,24
Gujarat,Dohad,0.847216119,5.0,Very high,25
Gujarat,Panch Mahals,0.842642388,5.0,Very high,26
Gujarat,Chota Udaipur,0.842409848,4.0,High,27
Gujarat,Kachchh,0.840024937,4.0,High,28
Gujarat,Aravalli,0.836040218,4.0,High,29
Gujarat,Narmada,0.816033387,4.0,High,30
Gujarat,Tapi,0.81059362,4.0,High,31
Gujarat,Mahisagar,0.808862071,4.0,High,32
Gujarat,The Dangs,0.746230765,3.0,moderate,33
Haryana,Sirsa,0.807772032,4.0,High,1
Haryana,Kaithal,0.793688503,4.0,High,2
Haryana,Jind,0.792087669,4.0,High,3
Haryana,Fatehabad,0.787522411,4.0,High,4
Haryana,Mahendragarh,0.787262778,4.0,High,5
Haryana,Ambala,0.784121372,4.0,High,6
Haryana,Sonipat,0.783290207,4.0,High,7
Haryana,Hisar,0.781853267,4.0,High,8
Haryana,Kurukshetra,0.781758867,4.0,High,9
Haryana,Rohtak,0.775256318,4.0,High,10
Haryana,Karnal,0.774091418,4.0,High,11
Haryana,Palwal,0.770113281,3.0,moderate,12
Haryana,Bhiwani,0.76947963,3.0,moderate,13
Haryana,Charki Dadri,0.769401681,3.0,moderate,14
Haryana,Nuh,0.766962535,3.0,moderate,15
Haryana,Faridabad,0.766738273,3.0,moderate,16
Haryana,Panipat,0.762190307,3.0,moderate,17
Haryana,Yamunanagar,0.762125417,3.0,moderate,18
Haryana,Jhajjar,0.757291192,3.0,moderate,19
Haryana,Rewari,0.749984315,3.0,moderate,20
Haryana,Gurugram,0.743789179,3.0,moderate,21
Haryana,Panchkula,0.711174263,3.0,moderate,22
Himachal Pradesh,Una,0.71543038,3.0,moderate,1
Himachal Pradesh,Sirmaur,0.681437928,3.0,moderate,2
Himachal Pradesh,Kangra,0.672129822,2.0,low,3
Himachal Pradesh,Hamirpur,0.669297797,2.0,low,4
Himachal Pradesh,Shimla,0.668409719,2.0,low,5
Himachal Pradesh,Lahul & Spiti,0.667832226,2.0,low,6
Himachal Pradesh,Kinnaur,0.651454634,2.0,low,7
Himachal Pradesh,Chamba,0.648822778,2.0,low,8
Himachal Pradesh,Solan,0.644499918,2.0,low,9
Himachal Pradesh,Mandi,0.630063704,2.0,low,10
Himachal Pradesh,Kullu,0.628410245,2.0,low,11
Jammu & Kashmir,Samba,0.772948,4.0,High,1
Jammu & Kashmir,Jammu,0.754317,3.0,moderate,2
Jammu & Kashmir,Pulwama,0.748949,3.0,moderate,3
Jammu & Kashmir,Srinagar,0.744187,3.0,moderate,4
Jammu & Kashmir,Kulgam,0.713536,3.0,moderate,5
Jammu & Kashmir,Shupiyan,0.71323,3.0,moderate,6
Jammu & Kashmir,Anantnag,0.710667,3.0,moderate,7
Jammu & Kashmir,Kathua,0.709376,3.0,moderate,8
Jammu & Kashmir,Udhampur,0.708093,3.0,moderate,9
Jammu & Kashmir,Badgam,0.702799,3.0,moderate,10
Jammu & Kashmir,Reasi,0.695683,3.0,moderate,11
Jammu & Kashmir,Ramban,0.695278,3.0,moderate,12
Jammu & Kashmir,Ganderbal,0.69083,3.0,moderate,13
Jammu & Kashmir,Rajouri,0.688973,3.0,moderate,14
Jammu & Kashmir,Bandipore,0.6873,3.0,moderate,15
Jammu & Kashmir,Baramula,0.684514,3.0,moderate,16
Jammu & Kashmir,Punch,0.669928,2.0,low,17
Jammu & Kashmir,Kupwara,0.668833,2.0,low,18
Jammu & Kashmir,Doda,0.660606,2.0,low,19
Jammu & Kashmir,Muzaffarabad,0.650185,2.0,low,20
Jammu & Kashmir,Mirpur,0.650072,2.0,low,21
Jammu & Kashmir,Kishtwar,0.645757,2.0,low,22
Jharkhand,Ranchi,0.794597383,4.0,High,1
Jharkhand,Saraikela-Khars Awan,0.782464954,4.0,High,2
Jharkhand,Palamu,0.781448171,4.0,High,3
Jharkhand,Gumla,0.778902082,4.0,High,4
Jharkhand,Bokaro,0.778498111,4.0,High,5
Jharkhand,Purbi Singhbhum,0.776205435,4.0,High,6
Jharkhand,Dhanbad,0.77547756,4.0,High,7
Jharkhand,Garhwa,0.771147184,3.0,moderate,8
Jharkhand,Pashchimi Singhbhum,0.769834247,3.0,moderate,9
Jharkhand,Simdega,0.759933333,3.0,moderate,10
Jharkhand,Lohardaga,0.75736192,3.0,moderate,11
Jharkhand,Hazaribagh,0.752016219,3.0,moderate,12
Jharkhand,Ramgarh,0.747968208,3.0,moderate,13
Jharkhand,Giridih,0.745353031,3.0,moderate,14
Jharkhand,Latehar,0.741213956,3.0,moderate,15
Jharkhand,Jamtara,0.741067037,3.0,moderate,16
Jharkhand,Khunti,0.740559841,3.0,moderate,17
Jharkhand,Deoghar,0.734715242,3.0,moderate,18
Jharkhand,Chatra,0.726530126,3.0,moderate,19
Jharkhand,Kodarma,0.721883197,3.0,moderate,20
Jharkhand,Godda,0.711165836,3.0,moderate,21
Jharkhand,Dumka,0.710675585,3.0,moderate,22
Jharkhand,Sahibganj,0.694090839,3.0,moderate,23
Jharkhand,Pakur,0.687466061,3.0,moderate,24
Karnataka,Dakshina Kannada,0.94866225,5.0,Very high,1
Karnataka,Udupi,0.93085994,5.0,Very high,2
Karnataka,Uttara Kannada,0.879447569,5.0,Very high,3
Karnataka,Vijayapura,0.874791843,5.0,Very high,4
Karnataka,Belagavi,0.872682391,5.0,Very high,5
Karnataka,Bidar,0.864688438,5.0,Very high,6
Karnataka,Kalaburagi,0.864033726,5.0,Very high,7
Karnataka,Mysuru,0.863351306,5.0,Very high,8
Karnataka,Bagalkote,0.843532682,5.0,Very high,9
Karnataka,Shivamogga,0.843140165,5.0,Very high,10
Karnataka,Chamarajanagar A,0.837456785,4.0,High,11
Karnataka,Gadag,0.83635663,4.0,High,12
Karnataka,Mandya,0.828118111,4.0,High,13
Karnataka,Koppal,0.824169256,4.0,High,14
Karnataka,Yadgir,0.823734475,4.0,High,15
Karnataka,Dharwad,0.823637072,4.0,High,16
Karnataka,Hassan,0.819933691,4.0,High,17
Karnataka,Haveri,0.817823711,4.0,High,18
Karnataka,Raichur,0.813565813,4.0,High,19
Karnataka,Davanagere,0.812219875,4.0,High,20
Karnataka,Ramanagara,0.811470735,4.0,High,21
Karnataka,Kodagu,0.811211376,4.0,High,22
Karnataka,Tumakuru,0.808554923,4.0,High,23
Karnataka,Ballari,0.808056781,4.0,High,24
Karnataka,Chikkamagaluru,0.804715212,4.0,High,25
Karnataka,Bangalore,0.80470575,4.0,High,26
Karnataka,Kolar,0.802505969,4.0,High,27
Karnataka,Chitradurga,0.79927747,4.0,High,28
Karnataka,Bengaluru Rural,0.771932853,3.0,moderate,29
Karnataka,Chikkaballapura,0.754775547,3.0,moderate,30
Kerala,Thiruvananthapu Ram,0.978748782,5.0,Very high,1
Kerala,Ernakulam,0.970972271,5.0,Very high,2
Kerala,Pathanamthitta,0.943432682,5.0,Very high,3
Kerala,Kottayam,0.929237354,5.0,Very high,4
Kerala,Alappuzha,0.909206259,5.0,Very high,5
Kerala,Kasaragod,0.905013404,5.0,Very high,6
Kerala,Malappuram,0.903923095,5.0,Very high,7
Kerala,Kollam,0.894800731,5.0,Very high,8
Kerala,Palakkad,0.886380612,5.0,Very high,9
Kerala,Kannur,0.880054251,5.0,Very high,10
Kerala,Idukki,0.875299309,5.0,Very high,11
Kerala,Thrissur,0.856513637,5.0,Very high,12
Kerala,Kozhikode,0.847339661,5.0,Very high,13
Kerala,Wayanad,0.816187496,4.0,High,14
Ladakh,Leh,0.705731319,3.0,moderate,1
Ladakh,Kargil,0.680459927,3.0,moderate,2
Madhya Pradesh,Indore,0.91640716,5.0,Very high,1
Madhya Pradesh,Bhopal,0.902760797,5.0,Very high,2
Madhya Pradesh,West Nimar,0.901129619,5.0,Very high,3
Madhya Pradesh,Ujjain,0.893742851,5.0,Very high,4
Madhya Pradesh,Dhar,0.891473567,5.0,Very high,5
Madhya Pradesh,Shajapur,0.88846329,5.0,Very high,6
Madhya Pradesh,Dewas,0.886572797,5.0,Very high,7
Madhya Pradesh,East Nimar,0.871542846,5.0,Very high,8
Madhya Pradesh,Chhindwara,0.86984545,5.0,Very high,9
Madhya Pradesh,Barwani,0.866876979,5.0,Very high,10
Madhya Pradesh,Sehore,0.866484062,5.0,Very high,11
Madhya Pradesh,Ratlam,0.861235252,5.0,Very high,12
Madhya Pradesh,Mandsaur,0.857298613,5.0,Very high,13
Madhya Pradesh,Hoshangabad,0.85670424,5.0,Very high,14
Madhya Pradesh,Betul,0.853209176,5.0,Very high,15
Madhya Pradesh,Rajgarh,0.850500931,5.0,Very high,16
Madhya Pradesh,Raisen,0.849244288,5.0,Very high,17
Madhya Pradesh,Jabalpur,0.849180411,5.0,Very high,18
Madhya Pradesh,Balaghat,0.840901104,4.0,High,19
Madhya Pradesh,Burhanpur,0.839816023,4.0,High,20
Madhya Pradesh,Jhabua,0.837963585,4.0,High,21
Madhya Pradesh,Agar Malwa,0.837921645,4.0,High,22
Madhya Pradesh,Narsimhapur,0.837009555,4.0,High,23
Madhya Pradesh,Seoni,0.830283426,4.0,High,24
Madhya Pradesh,Mandla,0.828924893,4.0,High,25
Madhya Pradesh,Vidisha,0.828264165,4.0,High,26
Madhya Pradesh,Harda,0.824779848,4.0,High,27
Madhya Pradesh,Neemuch,0.815959387,4.0,High,28
Madhya Pradesh,Sagar,0.809175171,4.0,High,29
Madhya Pradesh,Alirajpur,0.804065183,4.0,High,30
Madhya Pradesh,Dindori,0.79819378,4.0,High,31
Madhya Pradesh,Rewa,0.794606362,4.0,High,32
Madhya Pradesh,Anuppur,0.788651765,4.0,High,33
Madhya Pradesh,Guna,0.784158004,4.0,High,34
Madhya Pradesh,Katni,0.782588219,4.0,High,35
Madhya Pradesh,Satna,0.78103551,4.0,High,36
Madhya Pradesh,Shahdol,0.76561038,3.0,moderate,37
Madhya Pradesh,Sidhi,0.76540884,3.0,moderate,38
Madhya Pradesh,Umaria,0.764733979,3.0,moderate,39
Madhya Pradesh,Damoh,0.764287514,3.0,moderate,40
Madhya Pradesh,Singrauli,0.763479441,3.0,moderate,41
Madhya Pradesh,Morena,0.762362511,3.0,moderate,42
Madhya Pradesh,Ashoknagar,0.758625894,3.0,moderate,43
Madhya Pradesh,Bhind,0.754999698,3.0,moderate,44
Madhya Pradesh,Gwalior,0.746118143,3.0,moderate,45
Madhya Pradesh,Sheopur,0.744705405,3.0,moderate,46
Madhya Pradesh,Panna,0.740636978,3.0,moderate,47
Madhya Pradesh,Shivpuri,0.739927414,3.0,moderate,48
Madhya Pradesh,Datia,0.722671747,3.0,moderate,49
Madhya Pradesh,Chhatarpur,0.72160835,3.0,moderate,50
Madhya Pradesh,Tikamgarh,0.690373236,3.0,moderate,51
Madhya Pradesh,Niwari,0.672348382,3.0,moderate,52
Maharashtra,Mumbai Suburban,0.96447229,5.0,Very high,1
Maharashtra,Mumbai,0.962022278,5.0,Very high,2
Maharashtra,Sindhudurg,0.958652133,5.0,Very high,3
Maharashtra,Ratnagiri,0.948842817,5.0,Very high,4
