state,district,hri_normalised,hri_score,hri_category,intrastate_rank
Punjab,Jalandhar,0.774901705,4.0,High,12
Punjab,Firozpur,0.772781967,4.0,High,13
Punjab,Faridkot,0.767214489,3.0,moderate,14
Punjab,Pathankot,0.767010152,3.0,moderate,15
Punjab,Fatehgarh Sahib,0.76212129,3.0,moderate,16
Punjab,Hoshiarpur,0.761902398,3.0,moderate,17
Punjab,Kapurthala,0.759525481,3.0,moderate,18
Punjab,Gurdaspur,0.75684713,3.0,moderate,19
Punjab,Sahibzada Ajit Singh Nagar,0.747847676,3.0,moderate,20
Punjab,Shahid Bhagat Singh Nagar,0.738495899,3.0,moderate,21
Punjab,Rupnagar,0.722560719,3.0,moderate,22
Rajasthan,Jaipur,0.860472122,5.0,Very high,1
Rajasthan,Banswara,0.856513018,5.0,Very high,2
Rajasthan,Jalor,0.852598517,5.0,Very high,3
Rajasthan,Udaipur,0.851904963,5.0,Very high,4
Rajasthan,Jhalawar,0.847354015,5.0,Very high,5
Rajasthan,Pali,0.845685838,5.0,Very high,6
Rajasthan,Chittaurgarh,0.845043255,5.0,Very high,7
Rajasthan,Dungarpur,0.832489388,4.0,High,8
Rajasthan,Sirohi,0.830618754,4.0,High,9
Rajasthan,Kota,0.814474475,4.0,High,10
Rajasthan,Nagaur,0.812660527,4.0,High,11
Rajasthan,Bhilwara,0.812458092,4.0,High,12
Rajasthan,Ajmer,0.810819906,4.0,High,13
Rajasthan,Sikar,0.808420386,4.0,High,14
Rajasthan,Dausa,0.807523806,4.0,High,15
Rajasthan,Tonk,0.805961384,4.0,High,16
Rajasthan,Jodhpur,0.805164668,4.0,High,17
Rajasthan,Ganganagar,0.802691136,4.0,High,18
Rajasthan,Barmer,0.802367889,4.0,High,19
Rajasthan,Pratapgarh,0.800883483,4.0,High,20
Rajasthan,Bharatpur,0.795133292,4.0,High,21
Rajasthan,Bundi,0.794753528,4.0,High,22
Rajasthan,Alwar,0.793418703,4.0,High,23
Rajasthan,Rajsamand,0.792093555,4.0,High,24
Rajasthan,Sawai Madhopur,0.79009975,4.0,High,25
Rajasthan,Jhunjhunun,0.788968069,4.0,High,26
Rajasthan,Churu,0.783478808,4.0,High,27
Rajasthan,Hanumangarh,0.780020001,4.0,High,28
Rajasthan,Karauli,0.778325108,4.0,High,29
Rajasthan,Bikaner,0.777295925,4.0,High,30
Rajasthan,Baran,0.776928748,4.0,High,31
Rajasthan,Dhaulpur,0.749659269,3.0,moderate,32
Rajasthan,Jaisalmer,0.738340194,3.0,moderate,33
Sikkim,West District,0.691990326,3.0,moderate,1
Sikkim,South District,0.686801697,3.0,moderate,2
Sikkim,East District,0.662438886,2.0,low,3
Sikkim,Kessang,,,Unknown,4
Tamil Nadu,Thanjavur,0.911005,5.0,Very high,1
Tamil Nadu,Nagapattinam,0.909625,5.0,Very high,2
Tamil Nadu,Salem,0.90567,5.0,Very high,3
Tamil Nadu,Ramanathapur Am,0.887822,5.0,Very high,4
Tamil Nadu,Tiruppur,0.874674,5.0,Very high,5
Tamil Nadu,Cuddalore,0.874409,5.0,Very high,6
Tamil Nadu,Madurai,0.872764,5.0,Very high,7
Tamil Nadu,Namakkal,0.869254,5.0,Very high,8
Tamil Nadu,Viluppuram,0.865319,5.0,Very high,9
Tamil Nadu,Thiruvarur,0.865262,5.0,Very high,10
Tamil Nadu,Tiruchirappalli,0.863279,5.0,Very high,11
Tamil Nadu,Dharmapuri,0.860608,5.0,Very high,12
Tamil Nadu,Pudukkottai,0.859772,5.0,Very high,13
Tamil Nadu,Erode,0.853921,5.0,Very high,14
Tamil Nadu,Perambalur,0.851726,5.0,Very high,15
Tamil Nadu,Coimbatore,0.846913,5.0,Very high,16
Tamil Nadu,Kanniyakumari,0.844873,5.0,Very high,17
Tamil Nadu,Dindigul,0.839192,4.0,High,18
Tamil Nadu,Chennai,0.839001,4.0,High,19
Tamil Nadu,Tirunelveli,0.83808,4.0,High,20
Tamil Nadu,Karur,0.837819,4.0,High,21
Tamil Nadu,Tiruvannamalai,0.837323,4.0,High,22
Tamil Nadu,Krishnagiri,0.834462,4.0,High,23
Tamil Nadu,Sivaganga,0.822459,4.0,High,24
Tamil Nadu,Theni,0.820459,4.0,High,25
Tamil Nadu,The Nilgiris,0.813906,4.0,High,26
Tamil Nadu,Virudhunagar,0.809952,4.0,High,27
Tamil Nadu,Vellore,0.80801,4.0,High,28
Tamil Nadu,Thoothukkudi,0.804152,4.0,High,29
Tamil Nadu,Ariyalur,0.802238,4.0,High,30
Tamil Nadu,Thiruvallur,0.795589,4.0,High,31
Tamil Nadu,Kancheepuram,0.793698,4.0,High,32
Tamil Nadu,Kallakurichi,0.780468,4.0,High,33
Tamil Nadu,Chengalpattu,0.759705,3.0,moderate,34
Tamil Nadu,Tenkasi,0.749382,3.0,moderate,35
Tamil Nadu,Ranipet,0.732633,3.0,moderate,36
Tamil Nadu,Tirupathur,0.705599,3.0,moderate,37
Telangana,Jagitial,0.886129632,5.0,Very high,1
Telangana,Karimnagar,0.871888737,5.0,Very high,2
Telangana,Nizamabad,0.869406228,5.0,Very high,3
Telangana,Medak,0.86449094,5.0,Very high,4
Telangana,Sangareddy,0.852606011,5.0,Very high,5
Telangana,Adilabad,0.850566865,5.0,Very high,6
Telangana,Peddapalli,0.849280815,5.0,Very high,7
Telangana,Nirmal,0.848553429,5.0,Very high,8
Telangana,Rajanna Sircilla,0.843227858,5.0,Very high,9
Telangana,Mahabubnagar,0.832973412,4.0,High,10
Telangana,Mancherial,0.832772136,4.0,High,11
Telangana,Kamareddy,0.83214539,4.0,High,12
Telangana,Vikarabad,0.82789539,4.0,High,13
Telangana,Ranga Reddy,0.825154815,4.0,High,14
Telangana,Kumuram Bheem Asifabad,0.821715773,4.0,High,15
Telangana,Hyderabad,0.808575625,4.0,High,16
Telangana,Siddipet,0.805628253,4.0,High,17
Telangana,Medchal Malkajgiri,0.805076531,4.0,High,18
Telangana,Wanaparthy,0.804982506,4.0,High,19
Telangana,Warangal Urban,0.802655082,4.0,High,20
Telangana,Khammam,0.798545892,4.0,High,21
Telangana,Jogulamba Gadwal,0.796735569,4.0,High,22
Telangana,Jayashankar,0.794683815,4.0,High,23
Telangana,Bhadradri Kothagudem,0.768957018,3.0,moderate,24
Telangana,Nagarkurnool,0.766134622,3.0,moderate,25
Telangana,Warangal Rural,0.762102218,3.0,moderate,26
Telangana,Jangoan,0.758870527,3.0,moderate,27
Telangana,Yadadri Bhuvanagiri,0.758144938,3.0,moderate,28
Telangana,Nalgonda,0.757846518,3.0,moderate,29
Telangana,Narayanpet,0.740306674,3.0,moderate,30
Telangana,Suryapet,0.734117711,3.0,moderate,31
Telangana,Mahabubabad,0.729745631,3.0,moderate,32
Telangana,Mulugu,0.705392492,3.0,moderate,33
Tripura,North Tripura,0.79984455,4.0,High,1
Tripura,Unokoti,0.795474607,4.0,High,2
Tripura,West Tripura,0.783710477,4.0,High,3
Tripura,Khowai,0.76910929,3.0,moderate,4
Tripura,Dhalai,0.734473181,3.0,moderate,5
Tripura,Sipahijala,0.707306279,3.0,moderate,6
Tripura,Gomati,0.67882964,3.0,moderate,7
Tripura,South Tripura,0.656084734,2.0,low,8
Uttar Pradesh,Lucknow,0.878864063,5.0,Very high,1
Uttar Pradesh,Kushinagar,0.87479322,5.0,Very high,2
Uttar Pradesh,Prayagraj,0.866184655,5.0,Very high,3
Uttar Pradesh,Varanasi,0.856285526,5.0,Very high,4
Uttar Pradesh,Bara Banki,0.832305302,4.0,High,5
Uttar Pradesh,Jaunpur,0.831123239,4.0,High,6
Uttar Pradesh,Saharanpur,0.830189841,4.0,High,7
Uttar Pradesh,Ghazipur,0.829583868,4.0,High,8
Uttar Pradesh,Sultanpur,0.827348278,4.0,High,9
Uttar Pradesh,Amethi,0.82616188,4.0,High,10
Uttar Pradesh,Sitapur,0.824353426,4.0,High,11
Uttar Pradesh,Bhadohi,0.823297026,4.0,High,12
Uttar Pradesh,Deoria,0.822920541,4.0,High,13
Uttar Pradesh,Ambedkar Nagar,0.818953724,4.0,High,14
Uttar Pradesh,Gonda,0.817429113,4.0,High,15
Uttar Pradesh,Mirzapur,0.81525222,4.0,High,16
Uttar Pradesh,Rae Bareli,0.814836402,4.0,High,17
Uttar Pradesh,Kaushambi,0.814082957,4.0,High,18
Uttar Pradesh,Kheri,0.813696816,4.0,High,19
Uttar Pradesh,Bahraich,0.813597845,4.0,High,20
Uttar Pradesh,Kanpur Nagar,0.810916541,4.0,High,21
Uttar Pradesh,Gorakhpur,0.809315841,4.0,High,22
Uttar Pradesh,Mau,0.806227235,4.0,High,23
Uttar Pradesh,Muzaffarnag Ar,0.804790314,4.0,High,24
Uttar Pradesh,Azamgarh,0.804668643,4.0,High,25
Uttar Pradesh,Chandauli,0.803533745,4.0,High,26
Uttar Pradesh,Meerut,0.803257127,4.0,High,27
Uttar Pradesh,Hardoi,0.801861346,4.0,High,28
Uttar Pradesh,Faizabad,0.801630633,4.0,High,29
Uttar Pradesh,Pratapgarh,0.800883483,4.0,High,30
Uttar Pradesh,Baghpat,0.798706228,4.0,High,31
Uttar Pradesh,Hathras,0.798458626,4.0,High,32
Uttar Pradesh,Basti,0.797397811,4.0,High,33
Uttar Pradesh,Kannauj,0.797117287,4.0,High,34
Uttar Pradesh,Aligarh,0.797105694,4.0,High,35
Uttar Pradesh,Mahrajganj,0.796727636,4.0,High,36
Uttar Pradesh,Unnao,0.795938847,4.0,High,37
Uttar Pradesh,Auraiya,0.795911846,4.0,High,38
Uttar Pradesh,Sonbhadra,0.795056211,4.0,High,39
Uttar Pradesh,Ghaziabad,0.794842593,4.0,High,40
Uttar Pradesh,Ballia,0.793051155,4.0,High,41
Uttar Pradesh,Kanpur Dehat,0.791367808,4.0,High,42
Uttar Pradesh,Bulandshahr,0.790954576,4.0,High,43
Uttar Pradesh,Agra,0.790406529,4.0,High,44
Uttar Pradesh,Shrawasti,0.789086426,4.0,High,45
Uttar Pradesh,Etawah,0.788967154,4.0,High,46
Uttar Pradesh,Fatehpur,0.788445344,4.0,High,47
Uttar Pradesh,Gautam Buddha Nagar,0.786362236,4.0,High,48
Uttar Pradesh,Farrukhabad,0.785601855,4.0,High,49
Uttar Pradesh,Mathura,0.783372973,4.0,High,50
Uttar Pradesh,Shamli,0.782130758,4.0,High,51
Uttar Pradesh,Hapur,0.781201613,4.0,High,52
Uttar Pradesh,Mainpuri,0.780668723,4.0,High,53
Uttar Pradesh,Banda,0.780332617,4.0,High,54
Uttar Pradesh,Kasganj,0.779613465,4.0,High,55
Uttar Pradesh,Sambhal,0.774122293,4.0,High,56
Uttar Pradesh,Sant Kabir Nagar,0.772536986,4.0,High,57
Uttar Pradesh,Etah,0.771229489,3.0,moderate,58
Uttar Pradesh,Firozabad,0.771209047,3.0,moderate,59
Uttar Pradesh,Jalaun,0.765299238,3.0,moderate,60
Uttar Pradesh,Chitrakoot,0.765251724,3.0,moderate,61
Uttar Pradesh,Bijnor,0.76382832,3.0,moderate,62
Uttar Pradesh,Shahjahanp Ur,0.763318855,3.0,moderate,63
Uttar Pradesh,Siddharthna Gar,0.761648468,3.0,moderate,64
Uttar Pradesh,Budaun,0.761374727,3.0,moderate,65
Uttar Pradesh,Moradabad,0.7590776,3.0,moderate,66
Uttar Pradesh,Balrampur,0.754593899,3.0,moderate,67
Uttar Pradesh,Amroha,0.753936374,3.0,moderate,68
Uttar Pradesh,Lalitpur,0.748974273,3.0,moderate,69
Uttar Pradesh,Bareilly,0.741501454,3.0,moderate,70
Uttar Pradesh,Rampur,0.739811959,3.0,moderate,71
Uttar Pradesh,Mahoba,0.72349753,3.0,moderate,72
Uttar Pradesh,Pilibhit,0.721488673,3.0,moderate,73
Uttar Pradesh,Jhansi,0.70241449,3.0,moderate,74
Uttar Pradesh,Hamirpur,0.669297797,2.0,low,75
Uttarakhand,Hardwar,0.772532281,4.0,High,1
Uttarakhand,Bageshwar,0.767988308,3.0,moderate,2
Uttarakhand,Champawat,0.762465687,3.0,moderate,3
Uttarakhand,Udham Singh Nagar,0.749414942,3.0,moderate,4
Uttarakhand,Dehradun,0.748381438,3.0,moderate,5
Uttarakhand,Nainital,0.744274258,3.0,moderate,6
Uttarakhand,Rudraprayag,0.737355495,3.0,moderate,7
Uttarakhand,Garhwal,0.732397255,3.0,moderate,8
Uttarakhand,Tehri Garhwal,0.725805051,3.0,moderate,9
Uttarakhand,Pithoragarh,0.723478429,3.0,moderate,10
Uttarakhand,Chamoli,0.714438687,3.0,moderate,11
Uttarakhand,Uttarkashi,0.686827873,3.0,moderate,12
West Bengal,North Twenty Four Pargan,0.809549,4.0,High,1
West Bengal,South Twenty Four Pargan,0.805079,4.0,High,2
West Bengal,Kolkata,0.796712,4.0,High,3
West Bengal,Puruliya,0.785942,4.0,High,4
West Bengal,Purba Medinipur,0.783574,4.0,High,5
West Bengal,Bankura,0.782579,4.0,High,6
West Bengal,Hooghly,0.769255,3.0,moderate,7
West Bengal,Medinipur West,0.7663,3.0,moderate,8
West Bengal,Paschim Bardhaman,0.764875,3.0,moderate,9
West Bengal,Howrah,0.764157,3.0,moderate,10
West Bengal,Nadia,0.754871,3.0,moderate,11
West Bengal,Birbhum,0.746812,3.0,moderate,12
West Bengal,Purba Bardhaman,0.742799,3.0,moderate,13
West Bengal,Dakshin Dinajpur,0.731463,3.0,moderate,14
West Bengal,Jhargram,0.720616,3.0,moderate,15
West Bengal,Murshidabad,0.71862,3.0,moderate,16
West Bengal,Maldah,0.711992,3.0,moderate,17
West Bengal,Uttar Dinajpur,0.694725,3.0,moderate,18
West Bengal,Darjiling,0.611212,2.0,low,19
West Bengal,Kalimpong,0.602677,2.0,low,20
West Bengal,Jalpaiguri,0.478387,2.0,low,21
West Bengal,Cooch Behar,0.460427,1.0,very low,22
West Bengal,Alipurduar,0.370649,1.0,very low,23
